sample_id,qubit(ng/uL),nanodrop(260/280),nanodrop(260/230)
04A7ZQ-Bld-DNA-00091,42.8,1.83,2.05
1EU6Z6-FFPE-DNA-0008B,18.4,1.79,1.98
2ZWZRW-FrzT-DNA-00090,9.2,1.74,1.55
A549-Cells-DNA-00097,55.2,1.86,2.11
A549-LargeEVs-DNA-0008C,6.8,1.92,1.32
A549-smallEVs-DNA-0009B,2.1,1.42,0.78
CCd19Lu-Cells-DNA-00095,61.7,1.81,2.08
CCd19Lu-LargeEVs-DNA-0008A,3.4,1.55,0.92
CCD841con-LargeEVs-DNA-0008D,14.5,1.68,1.7
CCD841con-smallEVs-DNA-0009C,1.8,1.33,0.64
CHE996-Bld-DNA-00086,38.3,1.88,2.15
DY5QVH-Bld-DNA-0007F,47.9,1.82,1.97
HpREC-Cells-DNA-00084,72.5,1.85,2.12
HT29-LargeEVs-DNA-00094,11.3,1.95,1.4
J9E63O-FrzT-DNA-0009A,8.7,1.76,1.85
LRO08K-FrzT-DNA-0008F,5.4,1.89,1.28
M3A047-FFPE-DNA-00093,16.2,1.7,1.6
MDECI2-FFPE-DNA-00081,4.6,1.48,0.81
N1NQ2Q-Bld-DNA-00099,22.6,1.96,1.45
OQV3HO-Bld-DNA-00080,0.9,1.6,0.88
PC3-Cells-DNA-00085,66.1,1.84,2.06
TGGDWI-Bld-DNA-00092,29.6,1.8,2
TMKAWT-FrzT-DNA-00083,1.6,1.28,0.6
TUNC4N-Bld-DNA-0008E,5.2,1.5,0.95
U47SH6-Bld-DNA-00096,3,1.37,0.7
VGCGVY-FFPE-DNA-00098,2.5,1.44,0.83
VKZRA4-FrzT-DNA-00088,13.1,1.78,1.88
WPQZ58-FFPE-DNA-00087,6.1,1.52,0.9
XUNE85-FrzT-DNA-00082,24.7,1.87,2.09
XVOE2R-FrzT-DNA-00089,7.9,1.91,1.35
YSIDBR-Bld-DNA-0007E,4,1.58,0.97
