CaseID,SpecimenType,NucleidType,Concentration(ng/ul),Volume(uL)
MCF10A,smallEVs,RNA,250.7564,788
WYL6O2,FFPE,RNA,387.5995,782
MCF7,smallEVs,RNA,243.9815,800
MCF10A,LargeEVs,RNA,161.5712,683
7AH21R,FrzT,RNA,459.0298,756
MCF7,LargeEVs,RNA,116.1495,131
1QVZQP,FrzT,RNA,63.6021,671
HpREC,LargeEVs,RNA,116.8883,216
MCF10A,Cells,RNA,176.8573,412
VEM871,FrzT,RNA,475.3623,200
HpREC,smallEVs,RNA,279.8245,109
PC3,LargeEVs,RNA,333.9917,193
OZD6TF,FFPE,RNA,169.0126,871
PC3,smallEVs,RNA,29.587,498
MCF7,Cells,RNA,347.7515,515
0ZIZHF,FrzT,RNA,444.6776,545
KSES51,FFPE,RNA,219.4409,383
IW92KJ,FFPE,RNA,137.8701,81
CCd19Lu,smallEVs,RNA,454.5628,110
18PSPT,FFPE,RNA,40.0934,823
AVQPCU,Bld,RNA,472.3492,342
YSIDBR,Bld,DNA,166.739,560
DY5QVH,Bld,DNA,161.5025,2
OQV3HO,Bld,DNA,239.999,228
MDECI2,FFPE,DNA,371.7698,791
XUNE85,FrzT,DNA,208.0521,387
TMKAWT,FrzT,DNA,488.0024,319
HpREC,Cells,DNA,349.5137,950
PC3,Cells,DNA,337.8554,897
CHE996,Bld,DNA,158.3897,851
WPQZ58,FFPE,DNA,53.1906,694
VKZRA4,FrzT,DNA,448.7144,331
XVOE2R,FrzT,DNA,331.4456,282
CCd19Lu,LargeEVs,DNA,378.3167,410
1EU6Z6,FFPE,DNA,304.7077,913
A549,LargeEVs,DNA,253.2171,29
CCD841con,LargeEVs,DNA,238.4747,367
TUNC4N,Bld,DNA,345.1809,602
LRO08K,FrzT,DNA,93.6595,581
2ZWZRW,FrzT,DNA,65.5001,871
04A7ZQ,Bld,DNA,220.331,135
TGGDWI,Bld,DNA,202.3964,868
M3A047,FFPE,DNA,426.6416,390
HT29,LargeEVs,DNA,225.8284,177
CCd19Lu,Cells,DNA,224.145,342
U47SH6,Bld,DNA,369.2777,841
A549,Cells,DNA,23.3181,300
VGCGVY,FFPE,DNA,268.8869,66
N1NQ2Q,Bld,DNA,421.2547,204
J9E63O,FrzT,DNA,292.1893,406
A549,smallEVs,DNA,138.0382,998
CCD841con,smallEVs,DNA,102.8286,578
