ProductName,RefNumber,LotNumber
SERTRALINE HYDROCHLORIDE,UNSU-T1J4,47653804
Gabapentin,QJVB-8FSA,38630027
Perphenazine,QQ95-XUCH,17452233
Acid Reducer,ILPX-MUJQ,63079864
MARVEL ULTIMATE SPIDER-MAN ANTISEPTIC HAND CLEANSING BERRY SCENTED,ONLO-G4YE,66504670
Asacol,7DCY-77R0,18936006
Loratadine,VFK7-G2VN,34602307
Meclizine Hydrochloride,QSXL-6INI,70251386
IPECACUANHA,M8CP-XE3T,96805319
Strattera,HX02-GGTJ,11036403
Renes Cuprum,8BET-XSTL,06138390
MEDI-FIRST Ibuprofen,DSCN-OUVX,85869986
Friuts and Flowers Clean Cotton Waterless Hand Sanitizer,F9T1-FQ5I,60097019
phenylephrine hydrochloride,VJD6-XG9B,55170810
Strumeel Forte Rx Oral Drops,8KWB-OTB8,17322452
Clotrimazole,D76C-V6CM,97135757
Unscented Hand Sanitizer,RYE3-O5FI,92759636
Antibacterial,MHND-EXPL,33446532
Herpes Simplex,O222-21ST,02527870
AUGMENTIN,M9D8-TDW1,41851292
Metronidazole,A1J6-6M3G,99887690
Triamcinolone Acetonide,3XLK-GN19,99392161
Fluconazole,0YY9-SS8N,36108728
Antimicrobial Wipes Citrus Scented,57TK-946V,35022843
Norethindrone,YQ2J-EFPW,36265730
Gyno Complex,QZ5F-8I7B,22825332
ACETAMINOPHEN AND CODEINE PHOSPHATE,9VL3-TMUQ,26212687
Mannitol,HEKF-2E36,66579102
Enalapril Maleate,UJHP-MNI1,15654960
"Food - Animal Products and Poultry Products, Pork Sus sp.",9QIM-VISY,21544682
Methotrexate,IZCP-VLBO,83061749
Dial Complete Antibacterial Foaming Hand Wash with Lotion,ASW1-EN99,85979970
anti-bacterial Hand Cleanser,MVP9-LVJT,97264572
Scrofularoforce,4QYK-WU8B,71019313
SKIN ERUPTIONS,2BOZ-0KDT,48883982
Oxymorphone Hydrochloride,CR2P-IXMQ,83786874
Low-Dose Aspirin,NKOT-D8OJ,44868956
TopCare,8I0M-OCTT,37495324
Stool Softener,CVLO-LE06,91627573
WHITE CAVIAR ILLUMINATING HAND SUNSCREEN BROAD SPECTRUM SPF 15,7OEG-TOA3,44677688
Minivelle,EH6P-O9D5,58998808
PROAIRHFA,0543-XXST,01024730
Molecular AF,UQLB-V6U4,45283025
Simvastatin,Y7BK-4KLR,57415108
Antibacterial Foaming Hand Cleanser,8C3J-TUVL,82027307
Metformin Hydrochloride,D1OY-OLDN,59797968
tizanidine hydrochloride,HIBN-14TF,31842359
Hands First,8MQZ-35DX,48800583
Bacitracin,KUX1-3J36,43756264
Curad Alcohol,VH6M-UFGB,07399464
Gold Antibacterial Hand,XIAO-4JXA,46415970
"Molds, Penicillium Mix",SOYC-J2YJ,73065068
Target Fancy Nancy Antibacterial Hand Strawberry Parfait,FROY-7D9W,45730291
Triamterene hydrochlorothiazide,RR76-ZKDJ,10957916
CLINIMIX E,3UVO-XBQK,72564781
ESIKA,IOX5-GPEX,68647790
Myobloc,4E9R-CN3Q,74365501
Se-Care Chewable,P0FC-DJ4V,39646178
Cold - Sinus,C08Q-FU03,84522551
Tums,OXBN-QV1P,55064823
K-Phos,JXU2-OEDS,03294878
Fosphenytoin Sodium,B63B-O905,92136880
Childrens Ibuprofen,MF1F-A1H5,19694698
Muscle and Joint,PUEF-FYAJ,73478829
ASAFOETIDA,6CON-U8AB,15845889
A PERFECT WORLD,5E5A-TEN5,16257286
Torsemide,IWIN-B7W3,11836874
Docusate Sodium,2NAO-0XIZ,73442906
Diltiazem Hydrochloride,R3F3-JCO4,19643187
HEMANGEOL,08NT-MMDQ,90478036
Montelukast Sodium,LRKW-RAQD,86130123
Hydroxyurea,DFR1-OF36,56231078
Avedana Medicated Chest Rub,QWUF-QLVX,82014931
Head and Shoulders,ZOBA-VA9W,38811659
Endopure Testos for Men,53O4-NT93,50195564
Carvedilol,C7T5-K6FZ,42055245
levomefolate calcium and schizochytrium dha,A4NM-MI5I,07797485
Heparin Sodium,IHVO-Z7ZC,30256092
Lisinopril,2OBV-OW63,57933667
Natural Fiber Powder,ICD2-9B5Z,58262439
CLADOSPORIUM SPHAEROSPERMUM,OTZV-56F9,98583652
Onfi,X7C2-UD5B,09053457
Allerpoll,GRYH-3RYC,85792756
Speed Stick,WVFY-H0UA,86172779
zaleplon,JMHY-VU5M,89362872
Gabapentin,W985-NBRU,50637717
Multi Symptom Cold,7A0J-HN0L,76719628
Atenolol and Chlorthalidone,IOJR-3OET,55362504
OXYGEN,CQIM-DLWX,60448646
Allergy Relief D,L1ND-APNY,63429980
Amantadine Hydrochloride,MGHQ-XJ4L,38798545
Diovan HCT,LPDU-SJ12,55718598
CELEBREX,RYP0-X8VF,77450615
Vesica urinaria 8 Special Order,OTQX-E4CP,01607678
Furosemide,HOXE-J5TB,97717297
Carbamazepine,UPV1-SG3W,20776336
Stendra,QE33-L6R7,47296138
OXYGEN,8RQG-T6W8,40382257
Toms Wicked Fresh Cool Peppermint,248G-BLNY,12746634
Temazepam,32GJ-P21S,39853210
equaline allergy,GS51-O7N1,42213078
meloxicam,EUPX-T2FP,62823997
White Mulberry,96DI-MW18,27064631
BISACODYL,5BI1-GLIK,25470504
Loratadine,NQ1O-KKZ0,66982810
Goodsense Senna,1N16-X0DM,02506183
Ropinirole,LZZB-OP8M,24101511
Hair Pulling,9NWZ-8JKT,38628796
MILK OF MAGNESIA MINT,M50E-JQBU,46401488
DIBROMM,VPUS-YFBA,15319573
PROMETHAZINE DM,WDAI-TA9Q,06034985
Nasal Decongestant PE,FGRR-LOLI,83312960
Capture C-Brightening Ampoule,GU73-H72H,69605221
Losartan Potassium and Hydrochlorothiazide,R9DG-BK0J,67146957
Fiore Rx Antifungal ProPen,JWIQ-FOLO,32277663
ENTOCORT,IVVF-1WL4,47428825
Tetracaine Hydrochloride,KJRC-V01T,75458947
Yellow Dock,R5KD-E2C8,14689289
Kapok,2RYO-FPTB,72351241
Laura Mercier Tinted Moisturizer SPF 20 BISQUE,K8CG-QD6U,68279934
fluoxetine,DV3R-23DS,51276311
Guanfacine,R9ZP-OCMI,95855173
sunmark pain reliever,E46P-0Z8L,87586322
GRASTEK,9WSI-ODS8,19313980
Ibuprofen,XR30-X6IA,49728458
BiPla,HORA-0NDU,25248232
NABUMETONE,3DVV-9VIZ,36852716
Fenofibrate,LHD4-8Z1G,05389528
Axe,07E0-OWOF,00546933
Simvastatin,LJN5-B6XS,98655019
