sample_id,qubit(ng/uL),RIN,dv200
04A7ZQ-Bld-RNA,4.8,7.2,78
0ZIZHF-FrzT-RNA-003A3,3.5,6.1,67
18PSPT-FFPE-RNA-003A7,2.8,3.4,52
1EU6Z6-FFPE-RNA-003B6,1.5,4.5,48
1QVZQP-FrzT-RNA-0039A,5,8.1,85
2ZWZRW-FrzT-RNA-003BB,3.2,2.5,58
7AH21R-FrzT-RNA-00398,2.9,3.8,45
A549-Cells-RNA-003C2,1.8,1.5,25
A549-LargeEVs-RNA-003B7,6.2,7.8,82
A549-smallEVs-RNA-003C6,2.6,2.1,56
AVQPCU-Bld-RNA-003A8,3,4,50
CCd19Lu-Cells-RNA-003C0,2,1.2,22
CCd19Lu-LargeEVs-RNA-003B5,4.5,6.4,70
CCd19Lu-smallEVs-RNA-003A6,3.1,3.5,48
CCD841con-LargeEVs-RNA-003B8,1.7,3,45
CHE996-Bld-RNA-003B1,5.5,7.5,88
DY5QVH-Bld-RNA-003AA,2.7,2.3,57
HpREC-Cells-RNA-003AF,3.4,4.5,52
HpREC-LargeEVs-RNA-0039B,1.9,1.8,30
HpREC-smallEVs-RNA-0039E,4.2,6.8,73
HT29-LargeEVs-RNA-003BF,2.8,3,42
IW92KJ-FFPE-RNA-003A5,1.4,2.5,44
J9E63O-FrzT-RNA-003C5,5.1,7,80
KSES51-FFPE-RNA-003A4,3,2.7,60
LRO08K-FrzT-RNA-003BA,2.9,4.4,51
M3A047-FFPE-RNA-003BE,1.2,1.1,20
MCF10A-Cells-RNA-0039C,4.8,6.5,74
MCF10A-LargeEVs-RNA-00397,3.3,2.6,58
MCF10A-smallEVs-RNA-00394,2.7,4.2,47
MCF7-Cells-RNA-003A2,1.8,2.8,38
MCF7-LargeEVs-RNA-00399,5.6,8,89
MCF7-smallEVs-RNA-00396,3.2,3.1,57
MDECI2-FFPE-RNA-003AC,2.8,4.1,49
N1NQ2Q-Bld-RNA-003C4,1.6,1.7,27
OQV3HO-Bld-RNA-003AB,4.7,6.2,71
OZD6TF-FFPE-RNA-003A0,3.1,2.4,59
PC3-Cells-RNA-003B0,2.9,3.9,50
PC3-LargeEVs-RNA-0039F,1.5,1.3,24
PC3-smallEVs-RNA-003A1,5,7.4,83
TGGDWI-Bld-RNA-003BD,3.4,2.8,57
TMKAWT-FrzT-RNA-003AE,2.6,4.7,53
TUNC4N-Bld-RNA-003B9,1.9,2.2,35
U47SH6-Bld-RNA-003C1,4.9,6.7,76
VEM871-FrzT-RNA-0039D,3,2.5,56
VGCGVY-FFPE-RNA-003C3,2.7,4,51
VKZRA4-FrzT-RNA-003B3,1.7,1.5,28
WPQZ58-FFPE-RNA-003B2,5.3,7.6,84
WYL6O2-FFPE-RNA-00395,3.1,2.9,58
XUNE85-FrzT-RNA-003AD,2.8,4.3,52
XVOE2R-FrzT-RNA-003B4,1.3,1,18
YSIDBR-Bld-RNA-003A9,4.5,6.3,69
